Time,Row Labels,Trips
10,136,1256
10,137,735
10,138,557
10,139,222
10,14,4
10,140,698
10,141,494
10,142,195
10,143,938
10,144,1236
10,145,872
10,146,510
10,147,240
10,148,80
10,149,12
10,15,23
10,150,62
10,151,494
10,152,870
10,153,825
10,154,995
10,155,1106
10,156,931
10,157,359
10,158,231
10,159,10
10,16,72
10,160,12
10,161,512
10,162,942
10,163,1049
10,164,519
10,165,57
10,166,504
10,167,379
10,168,382
10,169,157
10,170,668
10,171,55
10,172,496
10,173,410
10,174,922
10,175,19
10,176,24
10,177,258
10,178,638
10,179,244
10,180,340
10,182,390
10,183,323
10,184,395
10,185,83
10,186,129
10,187,175
10,188,241
10,189,194
10,190,894
10,193,293
10,194,375
10,195,342
10,196,148
10,197,396
10,198,121
10,199,539
10,2,159
10,200,421
10,204,623
10,205,285
10,206,169
10,207,215
10,208,77
10,209,210
10,210,534
10,215,408
10,216,341
10,217,446
10,218,154
10,219,86
10,22,11
10,220,180
10,225,634
10,226,638
10,227,349
10,228,11
10,229,61
10,23,2
10,230,512
10,236,194
10,237,216
10,238,25
10,239,5
10,24,22
10,240,307
10,246,450
10,247,1942
10,248,91
10,249,101
10,25,64
10,250,5071
10,26,146
10,3,10
10,32,301
10,33,3
10,34,2
10,35,33
10,36,130
10,37,43
10,38,266
10,4,24
10,42,105
10,43,153
10,44,105
10,45,216
10,46,758
10,47,150
10,48,8346
10,5,495
10,52,213
10,53,167
10,54,483
10,55,157
10,56,273
10,57,264
10,58,688
10,59,1642
10,6,2522
10,62,48
10,63,313
10,64,306
10,65,608
10,66,524
10,67,553
10,68,788
10,72,60
10,73,357
10,74,117
10,75,145
10,76,463
10,77,275
10,78,478
10,79,374
10,80,3638
10,81,57
10,82,263
10,83,355
10,84,26
10,85,111
10,86,100
10,87,464
10,88,274
10,89,89
10,90,300
10,92,337
10,93,292
10,94,394
10,95,92
10,96,325
10,97,419
10,98,430
10,99,140
11,1,1563
11,100,331
11,101,459
11,102,544
11,103,1006
11,104,442
11,105,380
11,106,856
11,107,924
11,108,519
11,109,247
11,110,441
11,111,467
11,112,501
11,113,624
11,114,459
11,115,223
11,116,676
11,117,791
11,118,235
11,119,62
11,12,14
11,120,333
11,121,446
11,122,448
11,123,502
11,124,579
11,125,1182
11,126,899
11,127,429
11,128,255
11,129,174
11,13,7
11,130,653
11,132,454
11,133,272
11,134,788
11,135,1829
11,136,1459
11,137,831
11,138,671
11,139,319
11,14,5
11,140,736
11,141,500
11,142,190
11,143,1042
11,144,1544
11,145,1024
11,146,659
11,147,249
11,148,85
11,149,14
11,15,26
11,150,56
11,151,557
11,152,1053
11,153,938
11,154,1074
11,155,1285
11,156,1188
11,157,387
11,158,290
11,159,26
11,16,71
11,160,4
11,161,596
11,162,1120
11,163,1078
11,164,631
11,165,64
11,166,569
11,167,370
11,168,426
11,169,179
11,170,716
11,171,74
11,172,544
11,173,545
11,174,1068
11,175,20
11,176,26
11,177,300
11,178,762
11,179,239
11,180,343
11,182,470
11,183,371
11,184,522
11,185,102
11,186,130
11,187,203
11,188,274
11,189,253
11,190,949
11,193,373
11,194,435
11,195,355
11,196,179
11,197,471
11,198,113
11,199,590
11,2,185
11,200,524
11,204,695
11,205,347
11,206,184
11,207,283
11,208,98
11,209,218
11,210,572
11,215,470
11,216,374
11,217,665
11,218,169
11,219,125
11,22,10
11,220,180
11,225,810
11,226,838
11,227,430
11,228,16
11,229,97
11,23,1
11,230,597
11,236,222
11,237,280
11,238,31
11,239,4
11,24,26
11,240,380
11,246,632
11,247,1986
11,248,122
11,249,120
11,25,73
11,250,5166
11,26,144
11,3,18
11,32,270
11,33,14
11,34,6
11,35,43
11,36,129
11,37,60
11,38,291
11,4,32
11,42,85
11,43,163
11,44,134
11,45,198
11,46,865
11,47,186
11,48,8159
11,5,470
11,52,258
11,53,201
11,54,551
11,55,171
11,56,280
11,57,340
11,58,790
11,59,1709
11,6,2331
11,62,43
11,63,380
11,64,335
11,65,817
11,66,678
11,67,666
11,68,1005
11,72,89
11,73,385
11,74,151
11,75,176
11,76,491
11,77,291
11,78,552
11,79,437
11,80,4067
11,81,102
11,82,229
11,83,362
11,84,36
11,85,150
11,86,83
11,87,496
11,88,330
11,89,111
11,90,388
11,92,362
11,93,312
11,94,417
11,95,108
11,96,376
11,97,529
11,98,495
11,99,147
12,1,1674
12,100,357
12,101,549
12,102,598
12,103,1508
12,104,557
12,105,336
